id,speaker,label,text,visibleDays,visibleWhenJson,textByDayJson,optionsJson,note
talk_4u_inside_01,4U店内の人,4U店内の人,いらっしゃい。ここは語り場4U。初めての人も、ふらっと来た人も、ゆるく話せる場所だよ。,all,,,"[{""label"":""話す"",""type"":""dialogue"",""targetId"":""talk_4u_inside_talk""},{""label"":""金曜のにぎわいを聞く"",""type"":""dialogue"",""targetId"":""talk_4u_friday_mood"",""className"":""achievement"",""visibleDays"":[""fri""]},{""label"":""少し深い話をする"",""type"":""dialogue"",""targetId"":""talk_4u_deep_talk"",""className"":""link"",""visibleWhen"":{""type"":""statAtLeast"",""stat"":""talk"",""value"":3}},{""label"":""メニューを見る"",""type"":""menu"",""targetId"":""menu_4u""},{""label"":""掲示板を見る"",""type"":""board"",""targetId"":""board_4u""}]",
talk_4u_inside_talk,4U店内の人,4U店内の人,今日はどんな一日だった？ここでは、うまく話そうとしなくても大丈夫。ちょっとした一言から会話が始まるからね。,all,,,"[{""label"":""閉じる"",""type"":""close""}]",
talk_4u_outside_01,4U前の人,4U前の人,ここが語り場4U。初めてでも入りやすいけど、中に入るとだいたい誰かが話しかけてくれるよ。,all,,,"[{""label"":""ありがとう"",""type"":""close""}]",
talk_kusanone_inside_01,くさのね店内の人,くさのね店内の人,ようこそ、くさのね劇場へ。ここは食べたり飲んだりしながら、歌やイベントも楽しめる空間だよ。,all,,,"[{""label"":""話す"",""type"":""dialogue"",""targetId"":""talk_kusanone_inside_talk""},{""label"":""ステージの余韻について聞く"",""type"":""dialogue"",""targetId"":""talk_kusanone_stage_after_karaoke"",""className"":""link"",""visibleWhen"":{""type"":""statAtLeast"",""stat"":""karaoke"",""value"":1}},{""label"":""メニューを見る"",""type"":""menu"",""targetId"":""menu_kusanone""},{""label"":""掲示板を見る"",""type"":""board"",""targetId"":""board_kusanone""}]",
talk_kusanone_inside_talk,くさのね店内の人,くさのね店内の人,ステージがあると、ただの食事の場じゃなくて、少しだけ非日常になるんだよね。今日は何か表現したくなる日かも。,all,,,"[{""label"":""閉じる"",""type"":""close""}]",
talk_kusanone_outside_01,くさのね前の人,くさのね前の人,くさのね劇場は、食事やお酒だけじゃなくて、歌やイベントの空気も楽しめる場所だよ。,all,,,"[{""label"":""ありがとう"",""type"":""close""}]",
talk_branch_inside_01,ブランチカフェ店内の人,ブランチカフェ店内の人,いらっしゃいませ。ここは少し落ち着いて、ゆっくり過ごせるカフェです。ひと息ついていきますか？,all,,,"[{""label"":""話す"",""type"":""dialogue"",""targetId"":""talk_branch_inside_talk""},{""label"":""日曜のカフェ時間について聞く"",""type"":""dialogue"",""targetId"":""talk_branch_sunday"",""className"":""achievement"",""visibleDays"":[""sun""]},{""label"":""メニューを見る"",""type"":""menu"",""targetId"":""menu_branch""},{""label"":""掲示板を見る"",""type"":""board"",""targetId"":""board_branch""}]",
talk_branch_inside_talk,ブランチカフェ店内の人,ブランチカフェ店内の人,朝や昼の時間に人と話すと、夜とはまた違った言葉が出てくる気がします。今日はどんな気分ですか？,all,,,"[{""label"":""閉じる"",""type"":""close""}]",
talk_branch_outside_01,ブランチカフェ前の人,ブランチカフェ前の人,ブランチカフェは、少し落ち着いて話したいときにちょうどいい場所。まずはメニューだけ見てみるのもいいかも。,all,,,"[{""label"":""ありがとう"",""type"":""close""}]",
talk_town_01,街の人A,街の人A,このあたりは、いろんな人の活動がゆるく重なってるんだ。お店に入ると、その人たちの空気も少し見えてくるよ。,all,,,"[{""label"":""立ち去る"",""type"":""close""}]",
talk_town_02,街の人B,街の人B,掲示板を見ると、今どんなイベントやお知らせがあるか分かるよ。迷ったらまず掲示板だね。,all,,,"[{""label"":""立ち去る"",""type"":""close""}]",
talk_town_03,街の人C,街の人C,曜日によって、街の空気も少し変わるらしいよ。今はまだ準備中だけど、そのうち隠れた出会いも増えるかも。,all,,"{""fri"":""金曜は、いつもより誰かに会えそうな空気があるね。4Uの中も少しにぎやかかも。"",""sun"":""日曜は、少し静かに街を見直せる日。カフェの方にも寄ってみるといいかも。""}","[{""label"":""へえ"",""type"":""close""}]",
sign_to_kusanone,看板,看板,"↓ くさのね劇場へ
このまま下へ進むと、くさのね劇場付近へ移動します。",all,,,"[{""label"":""閉じる"",""type"":""close""}]",
sign_to_branch,看板,看板,"→ ブランチカフェへ
このまま右へ進むと、ブランチカフェ付近へ移動します。",all,,,"[{""label"":""閉じる"",""type"":""close""}]",
sign_to_4u_from_kusanone,看板,看板,"↑ 語り場4Uへ
このまま上へ進むと、語り場4U付近へ戻ります。",all,,,"[{""label"":""閉じる"",""type"":""close""}]",
sign_to_4u_from_branch,看板,看板,"← 語り場4Uへ
このまま左へ進むと、語り場4U付近へ戻ります。",all,,,"[{""label"":""閉じる"",""type"":""close""}]",
talk_town_01_fri,街の人A,街の人A,金曜の夜は、少しだけ街がにぎやかになるね。4Uにも、ふらっと誰かが集まってくるかも。,all,,,"[{""label"":""楽しそう"",""type"":""close""}]",
talk_town_01_sat,街の人A,街の人A,土曜はイベントの気配がある日。掲示板を見ておくと、何か見つかるかもしれないよ。,all,,,"[{""label"":""掲示板を見る"",""type"":""board"",""targetId"":""board_town_news""},{""label"":""閉じる"",""type"":""close""}]",
talk_town_02_sat,街の人B,街の人B,今日はどこかで歌や表現が生まれそうな空気だね。くさのね劇場の方も覗いてみる？,all,,,"[{""label"":""へえ"",""type"":""close""}]",
talk_town_02_sun,街の人B,街の人B,日曜は、少しだけ静かに振り返る日。店を回ると、違う言葉が聞こえるかもしれないね。,all,,,"[{""label"":""なるほど"",""type"":""close""}]",
talk_town_03_sun,街の人C,街の人C,日曜だけ見えるものってある気がする。まだ仮だけど、いつか隠しキャラも出せそうだね。,all,,,"[{""label"":""隠し要素、いいね"",""type"":""close""}]",
talk_4u_inside_fri,4U店内の人,4U店内の人,金曜の4Uは、いつもより少しにぎやか。誰かの一言から、気づいたら深い話になってることもあるよ。,all,,,"[{""label"":""メニューを見る"",""type"":""menu"",""targetId"":""menu_4u""},{""label"":""掲示板を見る"",""type"":""board"",""targetId"":""board_4u""},{""label"":""閉じる"",""type"":""close""}]",
talk_4u_inside_sat,4U店内の人,4U店内の人,土曜はイベント前後の話が生まれやすい日。歌う人、話す人、ふらっと来る人、それぞれの温度が混ざる感じがあるね。,all,,,"[{""label"":""カラオケの気配を見る"",""type"":""dialogue"",""targetId"":""event_4u_sat_karaoke""},{""label"":""掲示板を見る"",""type"":""board"",""targetId"":""board_4u""},{""label"":""閉じる"",""type"":""close""}]",
talk_4u_inside_sun,4U店内の人,4U店内の人,日曜は少し静かめ。昨日までの出来事を思い返しながら、ゆっくり言葉にしていく時間もいいね。,all,,,"[{""label"":""話す"",""type"":""dialogue"",""targetId"":""talk_4u_inside_talk""},{""label"":""閉じる"",""type"":""close""}]",
talk_4u_outside_fri,4U前の人,4U前の人,金曜は、ここから夜が始まる感じがするね。中に入る前に、街の掲示板も見ておくと良いかも。,all,,,"[{""label"":""掲示板を見る"",""type"":""board"",""targetId"":""board_town_news""},{""label"":""閉じる"",""type"":""close""}]",
talk_kusanone_inside_sat,くさのね店内の人,くさのね店内の人,土曜のくさのねは、どこかイベント前みたいな空気。ステージがあるだけで、今日は何か起きそうって思えるよね。,all,,,"[{""label"":""メニューを見る"",""type"":""menu"",""targetId"":""menu_kusanone""},{""label"":""掲示板を見る"",""type"":""board"",""targetId"":""board_kusanone""},{""label"":""閉じる"",""type"":""close""}]",
talk_branch_inside_sun,ブランチカフェ店内の人,ブランチカフェ店内の人,日曜のカフェは、少しゆっくり時間が流れる感じがします。予定を詰めすぎず、ぼーっとするのも良いですよ。,all,,,"[{""label"":""メニューを見る"",""type"":""menu"",""targetId"":""menu_branch""},{""label"":""閉じる"",""type"":""close""}]",
talk_branch_outside_sun,ブランチカフェ前の人,ブランチカフェ前の人,日曜は、カフェの前を通る人も少し穏やか。語り場の夜とは違う、昼のつながり方もありそうだね。,all,,,"[{""label"":""カフェに入ってみる"",""type"":""close""},{""label"":""閉じる"",""type"":""close""}]",
event_4u_friday_lively,金曜のにぎわい,金曜のにぎわい,店の前に、少しだけにぎやかな空気が漂っている。今日は誰かがふらっと現れそうな予感がする。,all,,,"[{""label"":""掲示板を見る"",""type"":""board"",""targetId"":""board_town_news""},{""label"":""閉じる"",""type"":""close""}]",
event_kusanone_saturday_stage,土曜のイベント気配,土曜のイベント気配,劇場の周りに、イベント前のようなそわそわした空気がある。ここから何か表現が始まりそうだ。,all,,,"[{""label"":""くさのね情報を見る"",""type"":""board"",""targetId"":""board_kusanone""},{""label"":""閉じる"",""type"":""close""}]",
event_branch_sunday_cafe,日曜のカフェ時間,日曜のカフェ時間,日曜の光がカフェの前に落ちている。少し立ち止まって、今日の予定をゆっくり考えたくなる。,all,,,"[{""label"":""カフェ情報を見る"",""type"":""board"",""targetId"":""board_branch""},{""label"":""閉じる"",""type"":""close""}]",
event_4u_sat_karaoke,カラオケの気配,カラオケの気配,誰かが歌った後のような空気が残っている。v001では演出だけだけど、今後は「歌う」「聴く」「拍手する」選択肢にできそう。,all,,,"[{""label"":""いいね"",""type"":""close""}]",
event_kusanone_fri_rehearsal,リハーサルの気配,リハーサルの気配,ステージ付近に、準備中のような空気がある。金曜の夜は、週末の表現に向けて少しずつ熱が上がっていく。,all,,,"[{""label"":""閉じる"",""type"":""close""}]",
event_branch_sun_window,窓際席,窓際席,窓際に柔らかい光が入っている。日曜だけは、ここで少し長めに休みたくなる。,all,,,"[{""label"":""閉じる"",""type"":""close""}]",
talk_4u_friday_mood,4U店内の人,4U店内の人,金曜の4Uは、少しだけ街の熱が集まってくる感じがするんだ。誰かの一言が、そのまま乾杯のきっかけになる日。,all,,,"[{""label"":""閉じる"",""type"":""close""}]",
talk_4u_deep_talk,4U店内の人,4U店内の人,何度か話しているうちに、少しずつ言葉の奥にあるものが見えてくる。ここでは、急がなくても大丈夫。,all,,,"[{""label"":""閉じる"",""type"":""close""}]",
talk_branch_sunday,ブランチカフェ店内の人,ブランチカフェ店内の人,日曜のカフェは、平日とは違う余白があります。急がずに座っているだけで、少し整っていく感じがしますね。,all,,,"[{""label"":""閉じる"",""type"":""close""}]",
talk_kusanone_stage_after_karaoke,くさのね店内の人,くさのね店内の人,一度マイクを持つと、ステージの見え方が少し変わるでしょう？見る場所から、表現する場所へ。そんな切り替わりがここにはあります。,all,,,"[{""label"":""閉じる"",""type"":""close""}]",
